Surendra Saathi,Surendra Sathi,0.965517241379
Suryabhanu Gupt,Suryabhanu Gupta,0.967741935484
Svati Chakravarti,Svati Chakravarty,0.941176470588
Taabaan Jhansvi,Taaban Jhansvi,0.965517241379
Taabhish Romani,Taabish Romani,0.965517241379
Tanveer Gazi,Tanveer Ghazi,0.96
Tanveer Naqv,Tanveer Naqvi,0.96
Tasneem Farooqui,Tasnim Farooqui,0.903225806452
Uddav Kumar,Uddhav Kumar,0.95652173913
Uddhav Kumar,Udhav Kumar,0.95652173913
Vedpal Varma,Vedpal Verma,0.916666666667
Veer Mohmmadpuri,Veer Muhammadpuri,0.909090909091
Vinod Pande,Vinod Pandey,0.95652173913
Vishwamitra Aadil,Vishwamitra Adil,0.969696969697
Vitthal Bhai Patel,Vitthalbhai Patel,0.914285714286
Wahed Mohsin,Waheed Mohsin,0.96
Wahid Quresh,Wahid Qureshi,0.96
Wali Sahab,Wali Saheb,0.9
